"","miR.195.","let.7d.","miR.876.3p","miR.204","miR.143","miR.509.3p","miR.1","miR.10b","miR.125b","miR.499.5p","miR.490.3p","miR.140.5p","miR.10b.","Candidate.24","Candidate.29.3p","Candidate.57.3p","miR.23b","miR.196b","miR.425","miR.26a.2.","miR.101.","miR.218","miR.576.3p","miR.335","miR.145.","miR.146a","miR.139.5p","miR.589","miR.218.1.","miR.424.","miR.126.","let.7b.","Candidate.20","miR.374a.","miR.188.3p","miR.135b","miR.345","miR.616.","miR.383","miR.490.5p","miR.559","miR.431.","miR.499.3p","miR.615.5p","miR.887","miR.876.5p","miR.125b.1.","miR.484","miR.31","miR.10a.","miR.769.5p","miR.532.3p","miR.100","miR.183","Candidate.14","Candidate.28","miR.183.","miR.765","Candidate.12.5p","miR.130a","miR.497.","miR.886.5p","miR.24.1.","miR.139.3p","miR.424","miR.138","miR.450a","miR.125a.5p","miR.873","miR.542.3p","miR.16.1.","Candidate.16","miR.542.5p","miR.510","Candidate.58.3p","Candidate.12.3p","miR.328","miR.200a.","Candidate.57.5p","miR.148a.","Candidate.60","miR.15b","miR.99b","miR.675","miR.122.","miR.1225.3p","miR.219.2.3p","miR.302b","miR.302c","miR.371.5p","miR.488.","miR.518d.3p","miR.617","miR.668","Candidate.38","miR.27b","miR.449b","miR.30e","Candidate.49","miR.181c.","class"
"1",0,3,0,7,6356,0,151,101,1038,1,0,30,0,0,0,0,342,9,0,1,3,8,0,130,29,4,10,0,0,6,60,15,0,0,0,2,0,0,0,0,0,0,0,0,1,1,2,15,1,0,1,4,233,0,0,7,0,0,0,144,2,2,1,0,15,1,3,135,4,1,0,0,0,0,2,0,6,0,2,0,0,101,24,2,0,0,0,0,0,0,0,0,0,0,0,537,0,35,0,1,"Normal"
"2",2,24,0,57,11170,0,71,77,5007,2,0,79,3,2,0,0,408,28,4,0,9,53,0,82,100,13,12,0,1,113,34,18,2,0,0,2,3,0,0,1,0,0,0,0,1,2,0,27,2,0,3,4,169,0,2,9,0,0,0,299,2,1,0,8,1065,2,137,426,3,39,0,0,10,0,2,1,8,0,1,0,0,127,92,1,0,0,0,0,0,0,0,0,0,0,0,421,0,50,0,0,"Normal"
"3",0,8,2,12,11547,0,352,203,2595,6,0,132,14,0,0,0,1046,75,5,1,33,31,1,217,113,21,13,0,0,3,293,27,0,5,0,0,4,0,2,0,0,0,0,0,0,3,5,57,4,8,5,8,686,0,0,3,0,0,0,656,5,0,5,2,54,0,16,431,26,4,0,0,3,0,5,0,18,0,0,0,0,375,97,1,0,0,0,0,0,0,0,0,0,0,0,1624,0,62,0,0,"Normal"
"4",4,41,12,44,51377,0,3835,2066,8036,18,0,324,5,1,0,0,1644,444,11,9,26,243,1,1954,302,1,49,0,2,109,1620,119,1,22,5,2,8,0,1,0,0,0,0,0,3,20,12,45,0,6,5,23,351,1,8,10,0,0,0,1534,20,6,5,11,1033,0,312,1048,36,54,0,0,10,0,3,0,6,0,5,0,0,1283,154,2,0,0,0,0,0,0,0,0,0,0,0,1122,0,373,0,0,"Normal"
"5",0,8,21,24,17214,0,127,69,566,3,0,102,12,0,0,0,1106,185,6,0,7,63,1,35,73,21,9,0,2,12,164,11,0,2,2,0,3,0,0,0,0,0,0,0,3,68,4,36,1,2,7,4,54,1,0,7,0,1,0,300,17,22,16,0,123,0,32,165,102,18,0,0,15,0,0,0,2,0,0,0,5,55,88,1,0,0,0,0,0,0,0,0,0,0,0,1058,1,25,0,1,"Normal"
"6",0,2,0,5,2433,0,36,20,391,0,0,53,1,0,0,0,313,44,0,0,11,6,0,36,19,2,0,0,0,11,30,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,3,12,0,0,1,0,0,0,44,3,0,1,0,225,0,19,79,0,10,0,0,4,0,0,0,0,0,0,0,0,13,7,1,0,0,0,0,0,0,0,0,0,0,0,98,2,7,0,0,"Normal"
"7",0,0,0,2,298,0,0,2,94,0,0,3,0,0,0,0,10,0,0,0,0,1,1,3,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,41,0,1,0,0,0,0,12,0,0,0,1,26,0,5,14,0,3,0,0,0,0,1,0,1,0,1,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,50,0,2,0,0,"Normal"
"8",1,38,0,66,22869,0,409,170,3990,8,0,157,78,1,0,0,3865,19,4,20,6,181,3,3874,508,10,7,0,0,453,2420,116,4,24,5,71,27,0,0,2,0,0,0,0,0,1,11,41,36,145,3,9,425,6,100,64,2,0,0,727,14,3,11,1,3919,0,729,503,0,162,0,0,108,0,1,0,6,4,1,2,0,837,160,9,0,0,0,0,0,0,0,0,0,0,0,1401,5,117,2,2,"Normal"
"9",0,18,0,4,1403,0,15,46,442,0,0,14,1,0,0,0,292,2,13,3,3,4,0,577,13,3,12,0,0,4,356,17,0,5,0,4,1,0,0,0,0,0,0,0,0,0,0,41,17,2,0,5,17,23,5,4,0,0,0,47,1,0,0,1,48,5,12,61,1,2,0,0,1,0,0,0,4,0,0,0,0,3621,11,0,0,0,0,0,0,0,0,0,0,0,0,245,0,27,0,0,"Normal"
"10",6,77,1,138,17153,0,674,791,5409,14,0,213,219,1,0,1,2462,226,10,9,7,93,6,2815,396,7,9,1,1,970,1354,233,3,21,10,25,11,0,0,1,0,0,0,0,0,5,2,40,16,48,4,46,429,19,22,40,3,1,0,1346,14,5,6,0,6383,0,367,606,1,126,1,0,71,1,0,0,4,10,0,1,0,1747,182,32,0,0,0,0,0,0,1,0,0,0,0,1133,0,126,1,5,"Normal"
"11",3,19,4,85,24433,0,1046,892,4481,11,0,245,7,0,0,0,1456,601,4,8,4,185,1,1106,222,6,30,0,0,30,1344,40,2,12,2,1,7,0,0,0,0,0,0,0,3,7,2,19,0,1,8,9,88,3,0,23,0,0,0,759,6,2,0,2,229,0,136,585,4,25,0,0,4,0,1,0,14,0,1,0,0,188,93,2,0,0,0,0,0,0,0,0,0,0,0,1061,0,119,0,1,"Normal"
"12",3,88,11,115,109216,0,1585,2390,15099,28,0,297,50,1,0,1,2273,361,7,19,37,307,1,2998,952,18,51,1,2,88,3648,180,7,18,5,6,7,1,0,0,0,0,0,0,3,12,7,47,3,15,6,56,304,2,55,35,0,0,0,6054,14,22,5,8,674,0,163,2554,11,36,0,0,13,0,0,0,44,0,2,0,1,1078,421,2,0,0,0,0,0,0,0,0,0,0,0,1375,0,347,0,5,"Normal"
"13",5,187,2,77,72831,2,1713,951,7859,10,0,302,326,0,0,0,2300,94,5,11,23,98,11,2525,750,24,33,0,0,190,3388,288,5,19,2,1,19,1,3,0,0,0,0,0,1,2,25,83,3,37,6,54,537,11,24,106,0,0,0,11326,8,32,0,8,417,0,64,1614,4,19,1,0,30,0,0,1,62,0,2,0,0,1046,441,7,0,0,0,0,0,0,0,0,0,0,0,620,0,83,0,0,"Normal"
"14",0,36,0,60,52359,0,199,501,557,5,0,79,13,0,0,0,886,5,42,6,12,141,3,2647,1401,3,80,1,0,73,842,63,1,19,2,1,3,2,1,0,0,0,0,0,1,1,2,398,35,4,3,90,819,8,125,134,1,0,0,1603,2,6,0,3,572,0,274,97,0,76,0,0,12,0,0,0,18,0,4,1,1,3584,120,7,0,0,0,0,0,1,0,0,0,0,0,285,0,295,4,2,"Normal"
"15",0,20,0,3,872,0,1224,6,195,35,0,8,3,0,0,0,135,0,3,1,0,7,1,221,9,2,3,0,0,3,217,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,1,0,9,1,3,8,0,0,0,36,0,0,0,1,9,0,1,76,0,1,0,0,1,0,0,1,4,0,0,0,0,353,20,0,0,0,0,0,0,0,0,0,0,0,0,60,0,7,0,0,"Normal"
"16",5,287,10,198,162350,0,4498,3147,12838,34,1,1421,660,1,0,1,2731,796,9,106,32,673,8,6324,2196,37,85,0,3,791,16924,468,15,137,14,0,27,0,0,0,0,0,0,0,3,5,31,88,1,160,11,108,969,2,42,170,0,1,0,4245,34,4,0,19,3463,0,808,1258,17,193,1,0,61,1,0,4,33,0,8,0,1,3218,848,2,0,0,0,0,0,0,0,0,0,0,0,904,0,396,0,4,"Normal"
"17",13,222,9,1531,407388,0,7328,3648,46295,118,0,1189,74,3,0,1,2974,1611,13,170,78,1783,8,6556,5153,37,73,5,7,1907,10924,479,16,169,11,13,15,0,0,4,0,2,0,0,7,18,29,131,18,34,16,77,1337,1,50,175,1,1,0,5124,63,9,7,0,12159,4,4437,3549,10,1230,1,0,64,0,0,3,19,0,18,4,17,4633,891,10,0,0,0,0,0,0,1,0,0,0,0,1561,0,1333,0,8,"Normal"
"18",9,242,6,1114,233496,1,3462,2455,24676,58,0,551,25,0,0,1,1721,230,62,55,35,759,5,2613,2392,98,141,1,0,154,20780,396,7,116,2,6,17,2,1,0,0,0,2,0,5,3,35,214,23,32,7,84,1122,7,117,196,0,7,0,2257,26,23,2,34,1683,1,753,1899,2,213,0,0,23,2,0,6,57,1,4,2,6,7061,756,5,1,0,0,2,1,2,0,1,0,0,0,1416,0,1116,0,5,"Normal"
"19",12,294,20,647,290717,1,11508,6062,24188,72,0,1204,64,0,0,2,4071,1466,51,73,29,1203,4,10386,2111,76,266,0,3,397,10957,470,13,88,31,8,16,1,29,1,0,0,1,1,32,34,29,279,13,19,15,161,902,11,31,166,2,7,0,4581,106,103,1,41,1939,1,1315,3571,37,237,1,0,36,3,0,1,59,1,30,0,6,4457,984,9,0,0,0,0,0,0,0,0,0,0,1,1116,0,857,11,8,"Normal"
"20",9,264,2,1112,78022,0,1345,1894,23106,46,0,681,548,2,0,6,3226,292,6,125,59,642,28,14871,1664,70,34,1,7,367,10840,686,9,107,12,28,88,0,6,0,0,0,0,0,1,16,40,89,11,64,6,231,1695,9,229,263,0,2,0,3947,18,12,1,3,1362,1,258,3774,16,60,2,3,30,0,2,7,82,1,8,3,0,2343,1324,36,0,0,0,0,0,0,0,0,0,1,0,921,0,407,1,5,"Normal"
"21",0,73,1,199,26392,2,255,5361,1617,18,1,247,31,3,5,1,1172,4,163,23,14,450,4,12368,888,24,112,8,3,839,3053,129,2,35,3,144,51,1,0,4,0,0,0,1,0,1,11,1644,338,34,13,75,5285,30,299,623,5,6,0,1051,2,12,1,11,8970,1,2005,109,3,384,0,0,39,0,0,1,16,46,14,2,3,7123,273,18,0,0,0,0,0,0,0,0,0,0,0,470,16,1381,13,2,"Normal"
"22",14,250,11,1087,73704,1,3989,5149,30072,67,1,1824,892,1,0,1,4206,761,11,143,105,393,36,29597,1090,44,39,1,3,750,17003,673,13,153,15,64,69,1,10,0,0,2,0,0,1,38,46,52,31,228,7,145,2893,7,284,278,0,2,0,10086,32,5,1,5,4295,0,510,3892,25,112,1,2,84,0,5,4,73,7,0,1,0,2127,953,31,0,0,0,0,0,0,1,0,1,0,0,1048,0,733,0,16,"Normal"
"23",1,40,0,131,17762,1,294,701,11698,7,0,84,28,1,0,2,1726,9,13,3,10,209,5,882,265,35,13,0,1,392,708,65,3,6,1,67,11,0,0,1,0,0,0,0,3,1,4,36,137,22,4,34,364,14,361,75,0,0,0,1093,5,2,2,1,3164,5,534,1045,2,65,0,0,34,0,2,1,8,4,1,1,2,1054,180,5,0,0,0,0,0,0,1,0,0,0,0,1264,3,236,1,3,"Normal"
"24",6,51,7,18,26740,0,447,376,2113,2,0,276,203,1,0,0,1159,129,2,11,15,93,5,1557,318,10,12,0,2,60,2134,83,4,17,8,1,43,0,0,0,0,0,0,0,0,14,7,32,2,5,5,34,268,0,33,17,0,0,0,1415,4,3,4,3,783,0,122,385,13,30,0,0,13,0,2,2,20,0,0,0,0,298,121,0,0,1,0,0,0,0,0,0,0,0,0,1093,0,61,0,0,"Normal"
"25",0,7,0,54,793,0,9,24,1981,2,0,47,31,1,0,0,47,0,3,0,5,6,8,49,6,6,1,0,0,114,9,18,0,1,1,0,19,0,20,0,0,0,0,0,0,0,33,7,1,0,6,28,648,5,178,83,1,0,0,174,0,3,0,2,310,0,122,277,1,27,0,0,7,7,0,0,20,0,0,1,0,121,40,1,0,0,0,0,0,1,0,0,0,0,0,77,0,16,0,6,"Normal"
"26",8,265,0,545,376078,2,10200,3569,49460,104,1,1470,45,3,0,6,16957,1391,103,31,81,915,16,7052,1847,260,379,7,6,2425,3952,430,32,39,8,136,63,0,4,4,0,0,0,2,34,1,109,399,766,42,39,73,6560,21,116,208,6,4,0,10728,186,23,2,135,20388,3,5995,5678,1,1012,0,0,337,5,17,8,89,16,11,3,6,4773,919,34,0,1,1,0,0,0,0,0,0,1,0,17747,160,1361,5,34,"Normal"
"27",2,61,1,156,28210,1,720,815,20860,20,0,226,18,1,0,1,3525,4,9,20,21,517,5,4336,414,34,33,1,1,401,2576,155,4,28,2,123,3,0,0,0,0,0,0,0,0,2,10,57,74,32,0,31,918,6,171,116,0,0,0,795,5,5,0,12,3364,0,946,1573,0,213,0,0,26,1,11,2,28,10,1,1,1,1989,227,17,0,0,0,0,0,0,0,0,0,0,0,3650,0,363,0,3,"Normal"
"28",0,26,0,10,6252,1,82,159,1828,9,0,55,66,1,0,0,2774,0,7,8,5,90,4,1308,147,6,6,0,0,142,1438,64,4,33,1,46,39,0,0,0,0,0,0,0,1,0,3,9,29,84,1,4,226,5,249,119,0,0,0,508,3,7,0,1,1522,1,239,224,1,66,0,0,15,2,0,1,8,11,0,1,0,701,78,2,0,0,0,0,0,0,0,0,0,0,0,999,30,90,2,2,"Normal"
"29",0,1,0,2,42,0,0,19,106,0,0,18,0,0,0,0,13,0,7,1,0,0,0,52,5,0,1,0,0,33,3,194,0,0,1,0,4,0,14,0,0,0,0,0,0,0,0,1,4,0,0,21,1152,0,0,0,0,0,0,7,33,4,0,0,1047,0,0,20,0,1,0,0,2,0,0,0,4,0,0,0,0,73,177,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,2,"Normal"
"30",1,1,0,0,2095,0,13,22,381,2,0,29,0,0,0,0,357,58,37,0,8,8,0,85,16,88,0,0,0,2,44,8,0,1,0,120,16,0,0,0,1,0,0,0,0,0,0,69,74,2,3,7,41,18,0,3,2,0,0,235,0,12,6,0,80,0,8,90,0,6,2,0,1,0,0,3,2,4,0,1,1,453,36,0,0,0,0,0,0,0,0,0,0,0,0,341,0,105,0,1,"Tumor"
"31",0,15,0,67,6554,0,111,536,1463,15,0,92,1,1,2,0,288,141,293,14,16,68,5,2239,230,15,19,5,1,29,551,148,1,9,0,563,63,1,0,0,0,0,0,0,0,0,1,1156,919,3,4,31,945,36,7,20,2,1,0,1041,0,9,0,3,1088,1,123,105,1,59,0,3,2,0,1,6,3,65,1,1,0,12388,62,2,0,0,0,0,0,0,0,1,0,0,1,228,0,2038,0,3,"Tumor"
"32",0,2,0,7,935,0,39,45,201,7,0,12,0,0,0,0,120,4,23,0,3,5,0,506,3,78,0,0,0,8,47,14,0,4,1,12,6,0,0,0,0,0,0,0,0,0,1,65,215,2,0,5,59,6,2,4,5,3,0,369,2,22,0,0,40,2,7,61,1,4,0,0,2,0,1,5,1,8,1,0,0,1165,19,1,0,0,0,0,0,0,0,0,0,0,0,572,0,364,0,4,"Tumor"
"33",0,1,0,0,309,0,0,16,99,0,0,26,0,0,2,0,280,27,21,2,2,0,0,34,9,50,0,0,0,3,33,8,0,2,0,12,7,0,0,0,0,0,0,0,1,0,0,85,174,1,3,1,7,6,0,2,2,1,0,173,0,10,1,0,84,1,5,17,0,2,0,0,0,0,0,4,0,3,0,0,3,332,3,0,0,0,0,0,0,0,0,0,0,0,0,171,0,77,0,0,"Tumor"
"34",0,2,0,0,971,0,17,81,105,6,0,11,0,0,0,0,122,19,25,2,2,6,0,959,3,25,0,0,0,7,48,29,2,3,3,59,3,0,0,0,2,0,0,0,1,2,0,66,227,3,2,13,17,4,1,2,9,0,0,234,2,0,1,0,44,2,15,48,5,3,0,0,2,0,0,3,0,12,0,0,0,956,25,1,0,0,0,0,0,0,0,0,0,0,0,1037,0,388,1,2,"Tumor"
"35",0,2,0,2,263,0,29,19,126,0,0,2,0,0,0,0,30,2,0,0,1,2,0,353,2,1,0,0,0,10,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,4,0,5,2,0,0,0,42,0,0,0,0,12,0,3,15,0,2,0,0,0,0,0,0,2,0,0,0,0,19,14,0,0,0,0,0,0,0,0,0,0,0,0,71,0,7,0,0,"Tumor"
"36",0,2,0,0,313,0,0,46,902,2,0,24,1,0,1,0,183,28,160,0,4,5,5,683,11,237,0,1,0,3,13,5,0,0,1,15,56,0,0,0,0,0,0,0,0,0,0,304,438,1,7,14,13,6,1,2,2,0,0,504,0,22,7,1,39,3,8,215,0,5,0,1,0,0,1,14,2,5,2,0,7,532,35,1,0,0,0,0,0,0,0,0,0,0,0,241,1,544,0,0,"Tumor"
"37",0,0,0,1,46,0,0,2,19,1,0,1,0,0,0,0,9,1,2,0,0,1,0,49,1,1,0,0,0,6,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,31,6,0,2,0,11,0,0,0,0,11,1,2,2,0,4,0,1,0,0,2,1,0,0,2,0,1,14,4,9,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,"Tumor"
"38",0,2,0,0,710,0,5,27,101,0,0,4,0,0,0,0,4371,6,22,0,0,1,0,336,24,15,1,0,0,3,94,16,0,6,0,43,9,0,0,0,0,0,0,0,0,1,0,105,293,0,0,1,33,54,29,1,8,0,0,159,0,1,2,0,29,0,16,20,1,10,0,0,0,0,0,2,1,3,0,0,0,1710,7,0,0,0,0,0,0,0,0,0,0,0,0,1054,0,146,0,0,"Tumor"
"39",0,26,0,7,1067,0,86,23,614,2,0,20,0,1,0,0,211,9,6,2,2,27,0,1299,22,8,8,0,0,403,346,24,0,5,1,3,2,0,0,0,0,0,0,0,0,0,1,14,10,1,0,4,40,0,29,25,0,1,1,164,3,3,0,1,487,0,18,86,0,8,0,0,1,0,0,2,1,13,0,0,1,280,25,6,0,0,0,0,0,0,0,0,0,0,0,235,0,22,0,0,"Tumor"
"40",0,5,0,11,1658,0,146,21,329,0,0,15,1,0,0,0,116,19,1,2,0,9,0,26,28,5,0,0,0,11,98,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,12,6,0,0,2,5,0,0,1,0,0,0,58,0,3,0,0,56,0,24,31,0,6,0,0,1,0,0,0,2,0,0,0,0,166,5,1,0,0,0,0,0,0,0,0,0,0,0,163,0,10,0,0,"Tumor"
"41",0,13,0,47,15690,0,51,187,2249,2,0,71,1,1,1,0,1120,42,21,9,5,145,0,886,458,57,34,0,0,58,959,54,1,27,0,20,18,0,0,0,0,0,0,0,0,2,0,162,519,7,2,26,718,26,84,52,6,1,0,2997,2,24,0,0,1307,1,259,138,0,117,0,0,11,0,0,5,5,7,0,4,1,5434,90,0,0,0,0,0,0,0,0,0,0,0,0,480,0,401,0,3,"Tumor"
"42",0,6,0,3,737,0,24,42,206,0,0,7,1,0,0,0,114,7,2,2,1,6,0,730,7,19,3,0,0,65,84,4,0,1,0,5,1,0,0,0,0,0,0,0,0,0,1,18,44,2,0,0,6,2,5,8,5,3,0,202,2,61,0,1,80,0,19,57,0,3,0,1,2,0,0,9,3,11,0,1,0,254,11,1,0,0,0,0,0,0,0,0,0,0,0,202,0,16,0,0,"Tumor"
"43",0,74,0,101,16974,0,296,1345,10374,22,0,326,9,0,3,0,930,387,874,32,19,177,10,3092,248,676,38,11,0,110,3633,308,7,38,4,799,130,7,0,0,2,0,0,0,8,2,20,2408,3188,14,37,72,282,192,51,79,51,11,1,4617,17,273,2,8,2537,12,454,2308,5,154,9,1,31,0,0,204,29,267,2,10,1,23398,596,13,0,0,0,0,0,0,0,0,0,0,0,1379,2,3326,1,3,"Tumor"
"44",0,21,0,8,814,0,5,184,1299,0,0,18,1,1,0,0,367,37,24,4,5,27,1,2529,13,30,7,0,1,126,459,49,0,2,1,42,20,0,0,0,0,0,0,0,0,3,1,97,72,7,5,21,114,5,69,59,4,3,0,801,0,58,1,0,374,0,19,294,0,16,0,0,2,0,0,72,15,20,8,1,0,1506,53,20,0,0,0,0,0,0,1,0,0,0,0,745,0,60,0,1,"Tumor"
"45",0,0,0,0,353,0,0,7,15,0,0,3,0,0,0,0,78,1,3,0,0,0,0,250,5,3,1,0,0,7,115,12,0,3,0,1,5,0,0,0,0,0,0,0,0,0,0,1,17,1,1,0,6,2,11,9,0,0,0,40,0,4,0,0,34,0,5,8,0,6,0,0,0,0,0,42,0,7,0,2,0,244,6,1,0,0,0,0,0,0,0,0,0,0,0,251,0,18,0,0,"Tumor"
"46",0,20,1,10,5517,0,1,137,68,10,0,126,8,0,6,0,1509,64,83,5,4,34,7,893,135,468,5,7,0,26,600,51,1,16,5,31,23,2,0,0,0,0,0,0,0,1,3,172,1035,3,11,9,232,33,77,29,11,3,0,169,0,7,3,0,639,1,141,12,0,81,0,0,3,0,0,19,0,52,0,7,1,6051,27,0,0,0,0,0,0,0,0,0,0,0,0,1718,0,1146,1,2,"Tumor"
"47",0,4,0,1,575,0,4,14,26,0,0,3,0,0,0,0,463,4,11,0,0,2,0,136,12,13,0,1,0,7,53,8,0,4,0,11,2,1,0,0,0,0,0,0,0,0,0,52,91,0,0,0,16,6,13,4,2,0,0,62,0,1,0,0,42,0,15,4,0,1,0,0,1,0,0,4,1,2,0,0,0,844,5,0,0,0,0,0,0,0,0,0,0,0,0,366,1,80,0,0,"Tumor"
"48",0,15,1,65,6716,0,55,497,400,11,0,93,2,0,5,0,767,69,434,7,9,105,5,3341,242,649,29,15,2,58,1739,106,1,37,0,118,29,3,0,0,0,0,0,0,2,0,0,2634,564,17,15,63,821,21,123,65,6,5,2,613,2,20,0,0,794,1,221,43,1,60,1,2,5,0,0,27,9,46,0,14,1,14854,69,1,0,0,0,0,0,0,0,0,0,0,0,391,0,1435,0,3,"Tumor"
"49",0,0,0,0,305,0,0,5,13,0,0,8,0,0,0,0,4,9,2,0,0,1,0,71,6,6,0,0,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,34,3,0,1,0,58,0,9,0,0,7,0,3,4,0,1,0,1,1,0,0,0,0,5,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,40,0,1,0,0,"Tumor"
"50",2,95,0,116,38740,0,1733,1408,10122,26,0,581,11,0,6,0,960,412,875,29,48,244,9,2107,533,865,41,14,2,165,7217,334,3,71,8,749,132,6,0,0,2,0,0,0,3,5,20,1229,1174,31,42,59,1373,113,65,77,33,12,2,3499,33,299,2,10,2776,11,703,2116,3,130,9,1,33,0,4,129,52,175,3,7,2,12993,549,16,0,0,0,0,0,0,0,0,0,0,0,975,0,3748,1,8,"Tumor"
"51",0,4,0,1,48,0,2,5,6,0,0,1,0,0,0,0,19,0,3,0,2,1,0,120,1,0,0,0,0,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,3,2,12,1,1,1,0,23,0,2,0,0,8,0,1,5,0,0,0,0,0,0,0,2,0,1,0,0,0,47,9,5,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,"Tumor"
"52",0,35,0,128,9774,0,31,236,1134,6,0,177,2,0,4,0,582,221,188,8,8,79,10,2015,143,283,3,6,1,92,71,189,7,4,2,84,80,1,0,1,0,0,0,0,3,8,8,834,2273,0,33,43,893,142,58,18,7,6,0,674,1,27,2,0,671,4,272,83,0,85,2,2,5,1,0,2,3,26,2,7,0,2905,72,7,0,0,0,0,0,0,0,0,0,0,0,283,0,907,0,9,"Tumor"
"53",0,21,0,1,246,0,14,7,85,1,0,1,0,0,0,0,19,0,4,0,0,3,0,1075,5,2,7,0,0,12,44,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,1,0,2,7,0,0,9,0,1,0,72,0,2,0,0,24,0,0,15,0,0,0,0,1,1,0,0,8,4,0,0,3,37,15,1,0,0,0,0,0,0,0,0,0,0,0,50,0,4,0,0,"Tumor"
"54",0,14,6,4,1496,0,179,387,164,42,0,21,4,0,0,0,27,156,93,2,12,309,0,4299,19,54,40,0,0,20,23,34,6,0,29,28,54,0,0,0,0,0,0,0,5,8,1,279,1,0,33,124,22,169,92,270,54,5,0,1267,2,30,1,31,41,4,17,358,53,6,1,0,4,0,5,56,11,0,6,0,0,1433,107,1,0,0,0,0,0,0,0,0,0,0,0,378,3,229,0,25,"Tumor"
"55",0,26,0,3,5335,0,7,58,101,24,0,36,0,0,1,0,986,24,133,0,3,32,2,2009,55,203,7,8,0,88,81,115,3,2,1,139,48,1,0,0,0,0,0,0,2,1,3,1713,2810,2,15,9,1593,47,62,45,18,5,1,2563,0,69,0,0,827,2,192,19,0,84,0,0,1,0,0,24,6,27,0,2,0,6060,43,1,0,0,0,0,0,0,0,0,0,0,0,1211,2,550,0,3,"Tumor"
"56",0,18,0,15,5253,0,56,425,167,5,0,50,2,0,2,0,2249,90,391,10,0,41,5,1296,145,248,6,4,0,61,515,230,0,22,4,535,123,3,0,0,1,0,0,0,0,1,2,1802,1930,4,19,32,511,30,25,67,11,3,0,896,0,57,1,0,640,6,275,45,0,55,1,0,6,0,0,20,7,41,0,3,2,17368,122,0,0,0,0,0,0,0,0,0,0,0,0,1838,0,1255,0,2,"Tumor"
"57",0,2,0,0,97,0,1,5,27,1,0,1,0,0,0,0,47,2,3,0,0,0,1,173,1,4,0,0,0,14,15,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,18,0,1,1,5,3,37,3,1,1,0,32,0,33,0,0,20,0,4,5,0,1,0,2,1,0,0,12,0,2,0,0,0,98,4,0,0,0,0,0,0,0,0,0,0,0,0,62,0,11,0,0,"Tumor"
"58",0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,3,0,141,0,0,0,0,216,0,12,0,0,0,1,0,15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,35,101,0,0,5,65,0,0,0,0,0,0,0,0,0,0,0,39,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3014,20,1,0,0,0,0,0,0,0,0,0,0,0,35,0,5,0,0,"Tumor"
